filename,class
../../data/CODaN/train/night_Bus_2015_02014.jpg,2
../../data/CODaN/train/night_Motorbike_2015_05757.jpg,2
../../data/CODaN/train/day_Motorbike_000000156002.jpg,1
../../data/CODaN/train/night_Bicycle_2015_00217.jpg,2
../../data/CODaN/train/night_Dog_2015_05686.png,2
../../data/CODaN/train/day_Bottle_ILSVRC2012_val_00017570.JPEG,1
../../data/CODaN/train/night_Bicycle_2015_00150.jpg,2
../../data/CODaN/train/day_Cup_000000235410.jpg,1
../../data/CODaN/train/night_Motorbike_2015_05925.jpg,2
../../data/CODaN/train/day_Car_000000166664.jpg,1
../../data/CODaN/train/day_Chair_000000176279.jpg,1
../../data/CODaN/train/day_Dog_000000344127.jpg,1
../../data/CODaN/train/night_Motorbike_2015_05964.jpg,2
../../data/CODaN/train/night_Cup_2015_04736.png,2
../../data/CODaN/train/day_Motorbike_000000373700.jpg,1
../../data/CODaN/train/night_Bicycle_2015_00464.jpg,2
../../data/CODaN/train/day_Dog_000000363549.jpg,1
../../data/CODaN/train/night_Chair_2015_04016.jpg,2
../../data/CODaN/train/day_Bicycle_000000506026.jpg,1
../../data/CODaN/train/night_Cup_2015_04569.jpg,2
../../data/CODaN/train/day_Dog_000000065356.jpg,1
../../data/CODaN/train/night_Dog_2015_05313.jpg,2
../../data/CODaN/train/day_Car_000000236174.jpg,1
../../data/CODaN/train/night_Cat_2015_03661.jpg,2
../../data/CODaN/train/day_Bottle_000000056032.jpg,1
../../data/CODaN/train/night_Bus_2015_01911.jpg,2
../../data/CODaN/train/day_Cat_000000533686.jpg,1
../../data/CODaN/train/day_Motorbike_000000228539.jpg,1
../../data/CODaN/train/night_Boat_2015_01155.JPEG,2
../../data/CODaN/train/night_Cat_2015_03211.jpg,2
../../data/CODaN/train/night_Boat_2015_01050.jpg,2
../../data/CODaN/train/day_Cup_000000429559.jpg,1
../../data/CODaN/train/night_Car_2015_02492.jpg,2
../../data/CODaN/train/day_Chair_000000130180.jpg,1
../../data/CODaN/train/night_Dog_2015_05671.png,2
../../data/CODaN/train/night_Cup_2015_04820.jpg,2
../../data/CODaN/train/day_Cup_ILSVRC2012_val_00042254.JPEG,1
../../data/CODaN/train/day_Car_ILSVRC2012_val_00013258.JPEG,1
../../data/CODaN/train/night_Cat_2015_03095.jpg,2
../../data/CODaN/train/night_Car_2015_02577.jpg,2
../../data/CODaN/train/day_Bus_000000104935.jpg,1
../../data/CODaN/train/day_Bottle_000000065427.jpg,1
../../data/CODaN/train/day_Cup_000000365431.jpg,1
../../data/CODaN/train/night_Chair_2015_04317.jpg,2
../../data/CODaN/train/night_Bottle_2015_01734.JPG,2
../../data/CODaN/train/night_Boat_2015_01273.png,2
../../data/CODaN/train/day_Dog_000000110707.jpg,1
../../data/CODaN/train/day_Bicycle_000000561121.jpg,1
../../data/CODaN/train/night_Cup_2015_04745.jpg,2
../../data/CODaN/train/night_Car_2015_02706.jpg,2
../../data/CODaN/train/night_Bus_2015_02361.jpg,2
../../data/CODaN/train/night_Bottle_2015_01714.JPEG,2
../../data/CODaN/train/night_Motorbike_2015_06153.JPEG,2
../../data/CODaN/train/day_Chair_000000458282.jpg,1
../../data/CODaN/train/night_Chair_2015_04357.jpg,2
../../data/CODaN/train/day_Car_000000456949.jpg,1
../../data/CODaN/train/night_Bicycle_2015_00334.jpg,2
../../data/CODaN/train/day_Cat_000000053479.jpg,1
../../data/CODaN/train/night_Chair_2015_04238.jpg,2
../../data/CODaN/train/day_Bus_000000245551.jpg,1
../../data/CODaN/train/day_Bicycle_ILSVRC2012_val_00005274.JPEG,1
../../data/CODaN/train/day_Bus_000000502402.jpg,1
../../data/CODaN/train/day_Motorbike_000000277073.jpg,1
../../data/CODaN/train/day_Chair_000000044068.jpg,1
../../data/CODaN/train/day_Cat_000000535226.jpg,1
../../data/CODaN/train/day_Boat_ILSVRC2012_val_00002748.JPEG,1
../../data/CODaN/train/day_Bicycle_ILSVRC2012_val_00042496.JPEG,1
../../data/CODaN/train/day_Cat_000000123921.jpg,1
../../data/CODaN/train/night_Cat_2015_03617.jpg,2
../../data/CODaN/train/day_Boat_000000201213.jpg,1
../../data/CODaN/train/night_Bus_2015_01989.jpg,2
../../data/CODaN/train/day_Boat_000000250227.jpg,1
../../data/CODaN/train/night_Dog_2015_05518.JPEG,2
../../data/CODaN/train/day_Bus_000000246446.jpg,1
../../data/CODaN/train/day_Boat_000000308463.jpg,1
../../data/CODaN/train/night_Car_2015_02496.jpg,2
../../data/CODaN/train/night_Bottle_2015_01659.jpg,2
../../data/CODaN/train/day_Bottle_ILSVRC2012_val_00021988.JPEG,1
../../data/CODaN/train/night_Boat_2015_01307.jpg,2
../../data/CODaN/train/night_Bottle_2015_01475.jpg,2
