23.0,4.6,3.6,1.0,0.2
16.0,5.7,4.4,1.5,0.4
66.0,6.7,3.1,4.4,1.4
12.0,4.8,3.4,1.6,0.2
43.0,4.4,3.2,1.3,0.2
147.0,6.3,2.5,5.0,1.9
52.0,6.4,3.2,4.5,1.5
28.0,5.2,3.5,1.5,0.2
5.0,5.0,3.6,1.4,0.2
33.0,5.2,4.1,1.5,0.1
143.0,5.8,2.7,5.1,1.9
86.0,6.0,3.4,4.5,1.6
87.0,6.7,3.1,4.7,1.5
17.0,5.4,3.9,1.3,0.4
11.0,5.4,3.7,1.5,0.2
82.0,5.5,2.4,3.7,1.0
134.0,6.3,2.8,5.1,1.5
138.0,6.4,3.1,5.5,1.8
76.0,6.6,3.0,4.4,1.4
110.0,7.2,3.6,6.1,2.5
97.0,5.7,2.9,4.2,1.3
106.0,7.6,3.0,6.6,2.1
67.0,5.6,3.0,4.5,1.5
1.0,5.1,3.5,1.4,0.2
123.0,7.7,2.8,6.7,2.0
68.0,5.8,2.7,4.1,1.0
29.0,5.2,3.4,1.4,0.2
41.0,5.0,3.5,1.3,0.3
45.0,5.1,3.8,1.9,0.4
61.0,5.0,2.0,3.5,1.0
124.0,6.3,2.7,4.9,1.8
25.0,4.8,3.4,1.9,0.2
26.0,5.0,3.0,1.6,0.2
24.0,5.1,3.3,1.7,0.5
95.0,5.6,2.7,4.2,1.3
40.0,5.1,3.4,1.5,0.2
96.0,5.7,3.0,4.2,1.2
118.0,7.7,3.8,6.7,2.2
48.0,4.6,3.2,1.4,0.2
98.0,6.2,2.9,4.3,1.3
114.0,5.7,2.5,5.0,2.0
34.0,5.5,4.2,1.4,0.2
139.0,6.0,3.0,4.8,1.8
102.0,5.8,2.7,5.1,1.9
63.0,6.0,2.2,4.0,1.0
85.0,5.4,3.0,4.5,1.5
149.0,6.2,3.4,5.4,2.3
54.0,5.5,2.3,4.0,1.3
6.0,5.4,3.9,1.7,0.4
94.0,5.0,2.3,3.3,1.0
112.0,6.4,2.7,5.3,1.9
50.0,5.0,3.3,1.4,0.2
36.0,5.0,3.2,1.2,0.2
81.0,5.5,2.4,3.8,1.1
78.0,6.7,3.0,5.0,1.7
35.0,4.9,3.1,1.5,0.1
115.0,5.8,2.8,5.1,2.4
8.0,5.0,3.4,1.5,0.2
44.0,5.0,3.5,1.6,0.6
71.0,5.9,3.2,4.8,1.8
99.0,5.1,2.5,3.0,1.1
121.0,6.9,3.2,5.7,2.3
84.0,6.0,2.7,5.1,1.6
135.0,6.1,2.6,5.6,1.4
136.0,7.7,3.0,6.1,2.3
90.0,5.5,2.5,4.0,1.3
9.0,4.4,2.9,1.4,0.2
14.0,4.3,3.0,1.1,0.1
120.0,6.0,2.2,5.0,1.5
126.0,7.2,3.2,6.0,1.8
4.0,4.6,3.1,1.5,0.2
18.0,5.1,3.5,1.4,0.3
39.0,4.4,3.0,1.3,0.2
73.0,6.3,2.5,4.9,1.5
137.0,6.3,3.4,5.6,2.4
7.0,4.6,3.4,1.4,0.3
113.0,6.8,3.0,5.5,2.1
101.0,6.3,3.3,6.0,2.5
3.0,4.7,3.2,1.3,0.2
64.0,6.1,2.9,4.7,1.4
55.0,6.5,2.8,4.6,1.5
127.0,6.2,2.8,4.8,1.8
51.0,7.0,3.2,4.7,1.4
116.0,6.4,3.2,5.3,2.3
47.0,5.1,3.8,1.6,0.2
140.0,6.9,3.1,5.4,2.1
62.0,5.9,3.0,4.2,1.5
148.0,6.5,3.0,5.2,2.0
80.0,5.7,2.6,3.5,1.0
60.0,5.2,2.7,3.9,1.4
92.0,6.1,3.0,4.6,1.4
42.0,4.5,2.3,1.3,0.3
59.0,6.6,2.9,4.6,1.3
91.0,5.5,2.6,4.4,1.2
49.0,5.3,3.7,1.5,0.2
89.0,5.6,3.0,4.1,1.3
108.0,7.3,2.9,6.3,1.8
125.0,6.7,3.3,5.7,2.1
22.0,5.1,3.7,1.5,0.4
58.0,4.9,2.4,3.3,1.0
145.0,6.7,3.3,5.7,2.5
130.0,7.2,3.0,5.8,1.6
38.0,4.9,3.1,1.5,0.1
141.0,6.7,3.1,5.6,2.4
2.0,4.9,3.0,1.4,0.2
53.0,6.9,3.1,4.9,1.5
131.0,7.4,2.8,6.1,1.9
104.0,6.3,2.9,5.6,1.8
100.0,5.7,2.8,4.1,1.3
117.0,6.5,3.0,5.5,1.8
88.0,6.3,2.3,4.4,1.3
75.0,6.4,2.9,4.3,1.3
122.0,5.6,2.8,4.9,2.0
150.0,5.9,3.0,5.1,1.8
21.0,5.4,3.4,1.7,0.2
72.0,6.1,2.8,4.0,1.3
107.0,4.9,2.5,4.5,1.7
15.0,5.8,4.0,1.2,0.2
93.0,5.8,2.6,4.0,1.2
103.0,7.1,3.0,5.9,2.1
